lig-ID,premin-score-POSIT,docking-score-POSIT,Vina-score-premin,Vina-score-min,gnina-RMSD,gnina-dock-Affinity,gnina-Affinity-var,CNN_dock_score,CNN_dock_affinity,CNNvariance
ASAP-0017740,0.0,-11.19473648071289,-9.715,-9.881,0.337,-9.98473,-2.21787,0.73599,-7.59363,0.18139
ASAP-0016547,0.0,-15.833120346069336,-9.013,-9.051,0.25162,-9.93529,-1.20044,0.9734,-7.79194,0.01929
ASAP-0027985,0.0,-14.940898895263672,-9.584,-9.738,0.30564,-9.78929,-1.83198,0.9547,-7.75508,0.06012
ASAP-0008681,0.0,-9.391090393066406,-8.093,-8.173,0.35354,-8.29593,-1.24832,0.46151,-6.21406,0.04788
ASAP-0028899,0.0,-4.855213165283203,-5.275,-5.744,1.00405,-6.09002,-1.12255,0.13351,-5.4134,0.07346
ASAP-0008374,0.0,-15.456062316894531,-8.389,-8.639,0.18999,-9.07371,-1.02549,0.96489,-6.76203,0.03316
ASAP-0015669,0.0,-13.208852767944336,-9.886,-9.944,0.2558,-10.09173,-1.6059,0.95589,-7.45511,0.04486
ASAP-0015389,0.0,-14.435688018798828,-9.221,-9.435,0.43495,-9.62716,-2.02878,0.85985,-7.54923,0.10604
ASAP-0017449,0.0,-13.49540901184082,-8.598,-8.682,0.5855,-8.88218,-1.43793,0.95202,-7.58855,0.08426
ASAP-0000220,0.0,-9.853238105773926,-7.308,-7.566,0.62252,-7.78454,-2.1244,0.61154,-6.78726,0.20839
ASAP-0014970,0.0,-12.65410614013672,-8.997,-9.237,0.5584,-9.39545,-2.11218,0.91789,-7.68324,0.10154
ASAP-0028826,0.0,-13.194258689880373,-9.127,-9.284,0.46659,-9.6725,-1.62858,0.93774,-7.24242,0.10874
ASAP-0029416,0.0,-11.471505165100098,-9.295,-9.479,0.75362,-9.95874,-2.2807,0.72827,-7.4797,0.28955
ASAP-0008373,0.0,-12.701410293579102,-7.277,-7.146,0.26651,-7.74382,0.1349,0.92416,-6.59709,0.04234
ASAP-0016823,0.0,-10.410158157348633,-9.348,-9.54,0.58941,-9.90023,-2.59797,0.82884,-7.88922,0.15756
ASAP-0011139,0.0,-13.866496086120604,-9.527,-9.597,0.37926,-9.90572,-1.74953,0.96351,-7.42606,0.07003
ASAP-0008588,0.0,-14.246013641357422,-7.887,-7.948,0.24369,-8.41457,-0.70873,0.95387,-6.68376,0.05089
ASAP-0008364,0.0,-14.710809707641602,-10.792,-11.158,0.28309,-11.20516,-0.51136,0.96029,-7.0844,0.0423
ASAP-0011200,0.0,-14.446715354919434,-7.933,-7.951,0.67481,-8.85367,-0.92298,0.96534,-7.40543,0.06785
ASAP-0008258,0.0,-12.582317352294922,-9.303,-9.709,0.60454,-9.9296,-1.15466,0.78754,-7.66405,0.36967
ASAP-0027681,0.0,-14.316645622253418,-9.745,-9.972,0.37562,-10.16462,-1.84549,0.93848,-7.76352,0.11965
